title,lyrics,album
Freak On a Leash,"Something takes a part of me Something lost and never seen Every time I start to believe Something's raped and taken from me, from me Life's gotta always be messin' with me Can't they chill and let me be free? Can't I take away all this pain? I try to every night, all in vain, in vain Sometimes, I cannot take this place Sometimes, it's my life I can't taste Sometimes, I cannot feel my face You'll never see me fall from grace Something takes a part of me You and I weren't meant to be A cheap fuck for me to lay Something takes a part of me Feelin' like a freak on a leash Feeling like I have no release How many times have I felt diseased? Nothing in my life is free, is free  Something takes a part of me Something lost and never seen Every time I start to believe Something's raped and taken from me, from me Life's gotta always be messin' with me Can't they chill and let me be free? Can't I take away all this pain? I try to every night, all in vain, in vain Sometimes, I cannot take this place Sometimes, it's my life I can't taste Sometimes, I cannot feel my face You'll never see me fall from grace Something takes a part of me You and I weren't meant to be A cheap fuck for me to lay Something takes a part of me Feelin' like a freak on a leash Feeling like I have no release How many times have I felt diseased? Nothing in my life is free, is free Sometimes, I cannot take this place Sometimes, it's my life I can't taste Sometimes, I cannot feel my face You'll never see me fall from grace Something takes a part of me You and I weren't meant to be A cheap fuck for me to lay Something takes a part of me Boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ee-ma Da-boom-da-da-mmm-dum-na-ayy, go So fight, something on the ming-a-ooh Fight, some things they fight So, something on the ming-a-ooh Fight, some things they fight Fight, something off the hee-a-hoo No, some things they fight Fight, something on the ming-a-hoo Fight, some things they fight Something takes a part of me You and I weren't meant to be A cheap fuck for me to lay Something takes a part of me Part of me Part of me Part of me",Follow The Leader
Daddy,"Mother, please forgive me I just had to get out all my pain and suffering Now that I am done, remember I will always love you I'm your son Little child, looking so pretty Come out and play, I'll be your daddy Innocent child, looking so sweet I'll rape your mind and now your flesh I reap You raped, I feel dirty It hurt, as a child Tied down, ""that's a good boy"" And fucked your own child I scream, no one hears me It hurt, I'm not a liar My God, saw you watch Mommy, why your own child? Little child, looking so pretty Come out and play, I'll be your daddy  Mother, please forgive me I just had to get out all my pain and suffering Now that I am done, remember I will always love you I'm your son Little child, looking so pretty Come out and play, I'll be your daddy Innocent child, looking so sweet I'll rape your mind and now your flesh I reap You raped, I feel dirty It hurt, as a child Tied down, ""that's a good boy"" And fucked your own child I scream, no one hears me It hurt, I'm not a liar My God, saw you watch Mommy, why your own child? Little child, looking so pretty Come out and play, I'll be your daddy You raped, I feel dirty It hurt, as a child Tied down, ""that's a good boy"" And fucked your own child I scream, no one hears me It hurt, I'm not a liar My God, saw you watch Mommy, why? It's alright You raped, I feel dirty It hurt, as a child Tied down, ""that's a good boy"" And fuck, your own child I weep, no one hears me It hurt, as a child Tied down, no one hit me And raped your own child I'm sick, no one hears me It hurt, as a child Tied down, ""that's a good boy"" You fucked your own child I speak, no one hears me It hurt, as a child Tied down, no one hears me Mommy, why your own child? I didn't touch you there Mommy said she didn't care I didn't touch you there That's why Mommy stopped and stared Little child, looking so sweet I rape your mind, and now your flesh I reap You raped, I feel dirty It hurt, as a child Tied down, ""that's a good boy"" And fuck, your own child I scream, no one hears me It hurt, I'm not a liar My God, saw you watch Mommy, why your own child? You raped, I feel dirty It hurt, I'm not a liar My God, saw you watching Daddy, why your own child? I scream, no one hears me It hurt, I'm not a liar My God, saw you watch Mommy, why your own child? You raped, I feel dirty It hurt, I'm not a liar My God, saw you watching Daddy why, your own child? I scream, no one hears me It hurt, I'm not a liar My God, saw you watch Mommy, why? I fuckin' hate you Oh, you fucker Motherfucker, I fuckin' hate you, fuck you You son of a bitch You fuckin' ruined my life I wanted to die I'm sick of it, motherfucker You fuckin' bitch I hate you I fuckin' hate you I hate you You piece of shit Why? I hate you When I awake, I'll see Thy face When I awake, I will see Thy light Mother awake me from my dreams Mother awake me in Thy light Hand in hand, we are dancing together Dancing together in Thy Light Hi, Geri Uh, is it okay if I come over and take a look at your exhaust manifold on your Dodge Dart? I've got a piece missing somewhere on mine, and I'm not sure what it is I wanna see what you got on yours, ha-ha Throttle lever strikes dash-pot rod, the rod must push diaphragm back Before it can move back, air must be pushed up in This causes the diaphragm to move slowly when the throttle valve is moved away Stream will force diaphragm out, the air must now vent, dash-pot is ready to work again I don't care what that- I don't care what that looks like Geri, I'm telling you what the dash-pot is Where's the dash-pot on here, Geri? Dash-pot is inside. Geri, where it's hooked up at And that is not made-, that is not made to regulate the fuckin' choke goin' back and forth That's so you can get pure fuel in there As soon as you start cranking it over, whoa It will start sucking, and when I start sucking, this choke here- 'Cause you can't just have pure fuel, it won't light, you have to have a little bit of oxygen It sucks open and it cracks the choke like this And that's how that works I said no, Geri, the heating is the motherfucking spring This one here, as soon as you start turnin' over the engine It's supposed to pull it back when the vacuum starts When the vacuum starts, nothin' to do with fuckin' heat, vacuum Because you said-, you said ""It's supposed to work off heat"" no, Geri As it gradually warms up, this motherfucker with the coil, the spring, opens it up This has already done its job, the only thing its job is to do is when you're cranking the engine up After it's been choked, all it does is pull back, and it cracks it open just a pinch The Choke Vacuum Diaphragm I mean, it's right there in the book Oh, God, you're a hard, hard woman to live with Oh, you motherfucker, you asshole, you stupid son of a bitch, you showed it to me You showed me the goddamn thing in the book what it was called, that's what I knew what it was No, Geri, you're fucked ""I haven't seen it,"" you stupid son of a bitch I told you what it says I just told you what it did And you're sittin' there saying you never saw that before And yet you're the one that fuckin' showed me it, Geri Let's try rebuilding the fucking carburetor first, Geri Let me tell you something, Geri Let me tell you a little secret, Geri Oh, man, I quit, I am fed up, I mean I tell you something and you fuckin' don't believe me You show me something and you still don't fuckin' believe me Well, you're sitting there telling me that motherfucker isn't that Well, that's not how it works Well, Geri, a mechanic told me that's how it works A Dodge Dart, on slant 6 What are you talkin' about?",Korn
Blind,"Are you ready? There's a place inside my mind A place I like to hide You don't know the chances What if I should die? A place inside my brain Another kind of pain You don't know the chances I'm so blind Blind, blind Another place I'll find To escape the pain inside You don't know the chances What if I should die? A place inside my brain Another kind of pain You don't know the chances I'm so blind Blind, blind  Are you ready? There's a place inside my mind A place I like to hide You don't know the chances What if I should die? A place inside my brain Another kind of pain You don't know the chances I'm so blind Blind, blind Another place I'll find To escape the pain inside You don't know the chances What if I should die? A place inside my brain Another kind of pain You don't know the chances I'm so blind Blind, blind Deeper and deeper and deeper As I dream to live a life that seems to be A lost reality That can never find a way to reach my inner Self-esteem is low, how deep can I go In the ground that I lay, if I don't find a way to See through the gray that clouds my mind? This time I look to see what's between the lines I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I can see, I can see I'm going blind I'm blind I'm blind I'm blind I'm blind",Korn
All in the Family,"Say what, say what? Say what, say what? Say what, say what? I say what, say what? My dick is bigger than yours Ooh, I say what, say what? I say what, say what? I say what, say what? My band is bigger than yours Too bad, I got your beans in my bag You stuck-up sucker, Korny motherfucker Taking over flows is the Limp pimp Need a Bizkit to save this crew from Jon Davis I'm gonna drop a little east side skill Ya best step back 'cause I'ma kill, I'ma kill So, what you thinking, Mr. raggedy man? Doing all you can to look like Raggedy Ann Check you out, punk, yes, I know you feel it You look like one of those dancers from the Hanson video You little faggot ho Please give me some shit to work with 'Cause right now I'm all it, kid Suck my dick, kid, like your daddy did  Say what, say what? Say what, say what? Say what, say what? I say what, say what? My dick is bigger than yours Ooh, I say what, say what? I say what, say what? I say what, say what? My band is bigger than yours Too bad, I got your beans in my bag You stuck-up sucker, Korny motherfucker Taking over flows is the Limp pimp Need a Bizkit to save this crew from Jon Davis I'm gonna drop a little east side skill Ya best step back 'cause I'ma kill, I'ma kill So, what you thinking, Mr. raggedy man? Doing all you can to look like Raggedy Ann Check you out, punk, yes, I know you feel it You look like one of those dancers from the Hanson video You little faggot ho Please give me some shit to work with 'Cause right now I'm all it, kid Suck my dick, kid, like your daddy did Who the fuck you think you're talking to? I'm known for eating little whiny chumps like you All up in my face with that ""are you ready?"" But halitosis is all you're rocking steady You little fairy, smelling on your flowers Nappy hairy chest, look, it's Austin Powers I hear ya tweetin' on them fag-pipes, clod But you said it best, there's no place to hide What the fuck ya saying? You're a pimp, whatever, Limp dick Fred Durst needs to rehearse, needs to reverse what he's saying Wanna be Funkdoobiest when you're playing Ripping up a bad counterfeit, faking Plus your bills, I'm paying You can't eat that shit every day, Fred Lay off the bacon Say what, say what? You better watch your fucking mouth, Jon So, you hate me And I hate you You know what, you know what? It's all in the family I hate you And you hate me You know what? It's all in the family Look at you, fool, I'm gonna fuck you up twice Throwing rhymes at me like, oh shit, alright, Vanilla Ice Ya better run, run while ya can Can never fuck me up, Bisc Limpkit At least I got a P.H.A.T. original band Who's hot, who's not? You best step back, Korn on the cob You need a new job Time to take them mic skills Back to the dentist and buy yourself a new grill You pumpkin pie, I'll jack off in your eye Climbing shoots and ladders, while your ego shatters But you just can't get away Because it's doomsday, kid, it's doomsday So, I hate you! And you hate me You know what, you know what? It's all in the family I hate you And you hate me You know what, you know what? It's all in the family You call yourself a singer? You're more like Jerry Springer Your favorite band is Winger And all you eat is Zingers You're like a Fruity Pebble Your favorite flag is rebel It's just too bad that you're a fag and on a lower level So you're from Jacksonville, kicking it like Buffalo Bill Getting butt-fucked by your uncle Chuck While your sister's on her knees Waiting for your little peanut Wait, where'd you get that little dance? Like them idiots in Waco, you're burning up in Bako Where your father had your mother Your mother had your brother It's just too bad your father's mad, your mother's now your lover Come on, hillbilly Can your horse do a fucking wheelie? You love it down south and, boy You sure do got a purdy mouth I hate you And you hate me You know what, you know what? It's all in the family And I hate you And you hate me You know what, you know what? It's all in the family And I love you And I want you And I'll suck you And I'll fuck you And I'll butt-fuck you And I'll eat you And I'll lick your little dick, motherfucker Say what, say what, what, say what?",Follow The Leader
Falling Away from Me,"Hey, I'm feeling tired My time has gone today You flirt with suicide Sometimes that's okay Do what others say I'm here standing hollow Falling away from me Falling away from me Day is here fading That's when I'm insane I flirt with suicide Sometimes kill the pain I can't always say ""It's gonna be better tomorrow"" Falling away from me Falling away from me Beating me down Beating me, beating me Down, down Into the ground Screaming so sound Beating me, beating me Down, down Into the ground  Hey, I'm feeling tired My time has gone today You flirt with suicide Sometimes that's okay Do what others say I'm here standing hollow Falling away from me Falling away from me Day is here fading That's when I'm insane I flirt with suicide Sometimes kill the pain I can't always say ""It's gonna be better tomorrow"" Falling away from me Falling away from me Beating me down Beating me, beating me Down, down Into the ground Screaming so sound Beating me, beating me Down, down Into the ground It's spinning round and round It's lost and can't be found It's spinning round and round Throw it down Beating me down Beating me, beating me Down, down Into the ground Screaming so sound Beating me, beating me Down, down Into the ground Twisting me, they won't go away So I pray, go away Life's falling away from me It's falling away from me Life's falling away from me Fuck Beating me down Beating me, beating me Down, down Into the ground Screaming so sound Beating me, beating me Down, down Into the ground Beating me down Beating me, beating me Down, down Into the ground Screaming so sound Beating me, beating me Down, down Into the ground",Issues
Twist,Twist Twist Twist Twist Twist Twist Twist Twist Twist Twist Twist Twist Twist Twist,Life is Peachy
Faget,"HIV Here I am different in this normal world Why'd you tease me, made me feel upset? Fucking stereotypes feeding their heads I am ugly, please just go away I can see it's hard to find This blessing in disguise Why you treat me this way? Made the hate stay As I walk I can never seem to escape All the laughing, all the pain If you were me, what would you do? Nothing, probably, you'd just throw me away I can see it's hard to find This blessing in disguise Why you treat me this way? Made the hate stay  HIV Here I am different in this normal world Why'd you tease me, made me feel upset? Fucking stereotypes feeding their heads I am ugly, please just go away I can see it's hard to find This blessing in disguise Why you treat me this way? Made the hate stay As I walk I can never seem to escape All the laughing, all the pain If you were me, what would you do? Nothing, probably, you'd just throw me away I can see it's hard to find This blessing in disguise Why you treat me this way? Made the hate stay Faget Faget Faget Here I am different in this normal world Why'd you tease me, made me feel upset? Fucking stereotypes feeding their heads I am ugly, please just go away I can see it's hard to find This blessing in disguise Why you treat me this way? Made the hate stay Faget You'll see I'm just a pretty boy, whatever you call it You wouldn't know a real man if you saw it It keeps going on day after day, son Hey you, faget, get away, we don't want none I'm sick and tired of people treating me this way every day Who gives a fuck? Right now I got something to say To all the people that think that I'm strange And I should be out here locked up in a cage You don't know what the hell is up now anyway You got this pretty boy feeling like I'm enslaved To a world that never appreciated shit You can suck my dick and fucking like it I'm just a pretty boy, I'm not supposed to fuck a girl I'm just a pretty boy living in this fucked up world I'm just a pretty boy, I'm not supposed to fuck a girl I'm just a pretty boy living in this fucked up world All my life, who am I? All my life, who am I? All my life, who am I? All my life, who am I? All my life, who am I? All my life, who am I? All my life, who am I? All my life, who am I? All my life, who am I? All my life, who am I? All my life, who am I? All my life I'm just a faget I'm just a faget I'm just a faget I'm a faget I'm not a faget I'm not a faget I'm not a faget You motherfucking queers",Korn
Got the Life,"Hate, something, sometime, someway Something kicked off the front for me Something inside So give me something that is for real Get your boogie on Get your boogie on Hate, something, someway, each day Feeling ripped off and given away This shit inside So give me nothing, just feel God paged me, ""You'll never see the light"", who wants to see? God told me, ""I've already got the life"", oh I say God paged me, ""You'll never see the light"", who wants to see? God told me, ""I've already got the life"", oh I say Each day I can feel it swallow Inside something took from me I don't feel your deathly ways Each day I feel so hollow Inside I was beating me You will never see, so come dance with me Dance with me, dance with me, dance with me Dance with me Dance with me Dance with me Me!  Hate, something, sometime, someway Something kicked off the front for me Something inside So give me something that is for real Get your boogie on Get your boogie on Hate, something, someway, each day Feeling ripped off and given away This shit inside So give me nothing, just feel God paged me, ""You'll never see the light"", who wants to see? God told me, ""I've already got the life"", oh I say God paged me, ""You'll never see the light"", who wants to see? God told me, ""I've already got the life"", oh I say Each day I can feel it swallow Inside something took from me I don't feel your deathly ways Each day I feel so hollow Inside I was beating me You will never see, so come dance with me Dance with me, dance with me, dance with me Dance with me Dance with me Dance with me Me! God pains me the more I see the light"", who wants to see? God told me, ""I've already got the life"", oh I say God paged me, ""You'll never see the light"", who wants to see? God told me, ""I've already got the life"" Got the life, got the life, got the life Got the life, got the life, got the life Got the life, got the life, got the life",Follow The Leader
Coming Undone,"Keep holding on when my brain's ticking like a bomb Guess the black thoughts have come again to get me Sweet bitter words unlike nothing I have heard Sing along mockingbird, you don't affect me That's right, deliver it to my heart Please strike, be deliberate Wait, I'm coming undone Irate, I'm coming undone Too late, I'm coming undone What looks so strong, so delicate Wait, I'm starting to suffocate And soon, I anticipate I'm coming undone What looks so strong, so delicate Choke, choke again, I thought my demons were my friends Pity me in the end, they're out to get me Since I was young, I've tasted sorrow on my tongue And the sweet sugar gun does not protect me  Keep holding on when my brain's ticking like a bomb Guess the black thoughts have come again to get me Sweet bitter words unlike nothing I have heard Sing along mockingbird, you don't affect me That's right, deliver it to my heart Please strike, be deliberate Wait, I'm coming undone Irate, I'm coming undone Too late, I'm coming undone What looks so strong, so delicate Wait, I'm starting to suffocate And soon, I anticipate I'm coming undone What looks so strong, so delicate Choke, choke again, I thought my demons were my friends Pity me in the end, they're out to get me Since I was young, I've tasted sorrow on my tongue And the sweet sugar gun does not protect me That's right, trigger between my eyes Please strike, make it quick now Wait, I'm coming undone Irate, I'm coming undone Too late, I'm coming undone What looks so strong, so delicate Wait, I'm starting to suffocate And soon, I anticipate I'm coming undone What looks so strong, so delicate I'm trying to hold it together Head is lighter than a feather Looks like I'm not getting better Not getting better Wait, I'm coming undone Irate, I'm coming undone Too late, I'm coming undone What looks so strong, so delicate Wait, I'm starting to suffocate And soon, I anticipate I'm coming undone What looks so strong, so delicate",See You On The Other Side
Twisted Transistor,"Hey you, hey you, Devil's little sister Listening to your twisted transistor Hold it between your legs Turn it up, turn it up Low end is coming through Can't get enough A lonely life where no one understands you But don't give up because the music do Music do, music do Music do, music do Music do, music do Because the music do And then it's reaching inside you Forever preaching, ""Fuck you too"" Your scream's a whisper Hang on you, twisted transistor Hey you, hey you, finally you get it The world ain't fair, eat you if you let it And as your tears fall on Your breasts, your dress Vibrations coming through You're in a mess  Hey you, hey you, Devil's little sister Listening to your twisted transistor Hold it between your legs Turn it up, turn it up Low end is coming through Can't get enough A lonely life where no one understands you But don't give up because the music do Music do, music do Music do, music do Music do, music do Because the music do And then it's reaching inside you Forever preaching, ""Fuck you too"" Your scream's a whisper Hang on you, twisted transistor Hey you, hey you, finally you get it The world ain't fair, eat you if you let it And as your tears fall on Your breasts, your dress Vibrations coming through You're in a mess A lonely life where no one understands you But don't give up because the music do Music do, music do Music do, music do Music do, music do Because the music do And then it's reaching inside you Forever preaching, ""Fuck you too"" Your scream's a whisper Hang on you, twisted transistor Music do, music do Music do, music do Music do, music do Music do, music do Hey you, hey you, this won't hurt a bit Says who? Says who? Anesthetize this bitch Just let me be between you and me Don't fit Music do And then it's reaching inside you Forever preaching, ""Fuck you too"" Your scream's a whisper Hang on you, twisted transistor",See You On The Other Side
A.D.I.D.A.S.,"Boning, I see, somehow it always seems That I'm dreamin' of somethin' I can never be It doesn't matter to me 'Cause I will always be that pimp that I see in all of my fantasies I don't know your fuckin' name So what? Let's— Screwing might be the only way That I can truly be free from my fucked up reality So I dream and stroke it harder 'Cause it's so fun to see my face starin' back at me I don't know your fuckin' name So what? Let's fuck All day, I dream about sex All day, I dream about fuckin' All day, I dream about fuckin' All day, I dream about sex Yes, all day, I dream about sex And all day, I dream about sex Yes, all day, I dream about sex And all day, I dream about sex Yes, all day, I dream about sex And all day, I dream about sex Yes, all day, I dream about sex  Boning, I see, somehow it always seems That I'm dreamin' of somethin' I can never be It doesn't matter to me 'Cause I will always be that pimp that I see in all of my fantasies I don't know your fuckin' name So what? Let's— Screwing might be the only way That I can truly be free from my fucked up reality So I dream and stroke it harder 'Cause it's so fun to see my face starin' back at me I don't know your fuckin' name So what? Let's fuck All day, I dream about sex All day, I dream about fuckin' All day, I dream about fuckin' All day, I dream about sex Yes, all day, I dream about sex And all day, I dream about sex Yes, all day, I dream about sex And all day, I dream about sex Yes, all day, I dream about sex And all day, I dream about sex Yes, all day, I dream about sex All day, I dream about sex All day, I dream about fuckin' All day, I dream about sex All day, I dream about fuckin'",Life is Peachy
Rotting in Vain,"I wouldn't be angry if you'd just fucking cry Your tears would arouse me, refreshing my supply The suffering is fading, I scream into the sky Repulsion invades me, I say goodbye Digging deep inside of me Getting past this agony I can't seem to get away Another day rotting in vain I wouldn't be angry if things would stay the same You're fighting the torment that helps me feed my pain The suffering is fading, I scream into the sky Repulsion invades me, I say goodbye Digging deep inside of me Getting past this agony I can't seem to get away Another day rotting in... I can't hear this I can't fuck it I can't take this I hate...  I wouldn't be angry if you'd just fucking cry Your tears would arouse me, refreshing my supply The suffering is fading, I scream into the sky Repulsion invades me, I say goodbye Digging deep inside of me Getting past this agony I can't seem to get away Another day rotting in vain I wouldn't be angry if things would stay the same You're fighting the torment that helps me feed my pain The suffering is fading, I scream into the sky Repulsion invades me, I say goodbye Digging deep inside of me Getting past this agony I can't seem to get away Another day rotting in... I can't hear this I can't fuck it I can't take this I hate... Digging deep inside of me Getting past this agony I can't seem to get away Another day rotting in... Digging deep inside of me Getting past this agony I can't seem to get away Another day rotting in vain",The Serenity of Suffering
Clown,"""Anger builds within my body"", alright, go ""Four"" I just said, you faggot piece of shit on the ground Four? Ugh, hey, what are you talkin' about, Ross? Hey, the song starts Hey, are you saying so there's no clicks? Just fucking do it, dammit Look at ""Twist"", I wish we could put ""Twist"" on the fuckin' tape Wanna hear it? Fuck you, fuck you Okay, you piece of shit Anger inside builds within my body Why'd you hit me? What have I done? You tried to hit me Scream at me again if you like Throw your hate at me with all your might Hit me 'cause I'm strange, hit me Tell me I'm a pussy and you're harder than me What's with you, boy? Think hard A tattooed body to hide who you are Scared to be honest, be yourself A cowardly man  ""Anger builds within my body"", alright, go ""Four"" I just said, you faggot piece of shit on the ground Four? Ugh, hey, what are you talkin' about, Ross? Hey, the song starts Hey, are you saying so there's no clicks? Just fucking do it, dammit Look at ""Twist"", I wish we could put ""Twist"" on the fuckin' tape Wanna hear it? Fuck you, fuck you Okay, you piece of shit Anger inside builds within my body Why'd you hit me? What have I done? You tried to hit me Scream at me again if you like Throw your hate at me with all your might Hit me 'cause I'm strange, hit me Tell me I'm a pussy and you're harder than me What's with you, boy? Think hard A tattooed body to hide who you are Scared to be honest, be yourself A cowardly man I don't run around Trying to be what's not within me Look into my eyes, I am free You're just a wannabe Scream at me again if you like Throw your hate at me with all your might Hit me 'cause I'm strange, hit me Tell me I'm a pussy and you're harder than me What's with you, boy? Think hard A tattooed body to hide who you are Scared to be honest, be yourself A cowardly man To come out Hit me, clown, because I'm not from your town now Hit me, clown Hit me, clown, because I'm not from your town now Hit me, clown Hit me, clown, because I'm not from your town now Hit me, clown Hit me, clown, because I'm not from your town now Hit me, clown Clown, you ain't shit, turn around, get your face split Clown, you ain't shit, turn around, get your face split Clown, you ain't shit, turn around, get your face split Clown, you ain't shit, turn around, get your face split Turn if you like Throw your hate at me with all your might Hit me 'cause I'm strange, hit me Tell me I'm a pussy and you're harder than me What's with you, boy? Think hard A tattooed body to hide who you are Scared to be honest, be yourself A cowardly man I'm just a fucking little I'm just a fucking little I'm just a fucking little I'm just a fucking little I'm just a fucking little I'm just a fucking little I'm just a fucking little",Korn
Trash,"How did it start? Well, I don't know, I just feel the craving I see the flesh, and it smells fresh And it's just there for the taking These little girls They make me feel so goddamn exhilarated I fill them up, I can't give it up The pain that I'm just erasing I tell my lies, and I despise Every second I'm with you So I run away, and you still stay So what the fuck is with you? Your feelings, I can't help but rape them! I'm sorry, I don't feel the same! My heart inside is constantly hating! I'm sorry, I just throw you away! I don't know why I'm so fucking cold I don't know why it hurts me All I wanna do is get with you And make the pain go away Why do I have a conscience? All it does is fuck with me Why do I have this torment? All I wanna do is fuck it away  How did it start? Well, I don't know, I just feel the craving I see the flesh, and it smells fresh And it's just there for the taking These little girls They make me feel so goddamn exhilarated I fill them up, I can't give it up The pain that I'm just erasing I tell my lies, and I despise Every second I'm with you So I run away, and you still stay So what the fuck is with you? Your feelings, I can't help but rape them! I'm sorry, I don't feel the same! My heart inside is constantly hating! I'm sorry, I just throw you away! I don't know why I'm so fucking cold I don't know why it hurts me All I wanna do is get with you And make the pain go away Why do I have a conscience? All it does is fuck with me Why do I have this torment? All I wanna do is fuck it away I tell my lies, and I despise Every second I'm with you So I run away, and you still stay So what the fuck is with you? Your feelings, I can't help but rape them! And I'm sorry, I don't feel the same! My heart inside is constantly hating! I'm sorry, I just throw you away! I tell my lies, and I despise Every second I'm with you And I run away and you still stay So what the fuck is with you? Your feelings, I can't help but rape them! I'm sorry, I don't feel the same! My heart inside is constantly hating! I'm sorry, I just throw you away! Just throw you away! Just throw you away! Just throw you away!",Issues
Narcissistic Cannibal,"Don't wanna be sly and defile you Desecrate my mind and rely on you I just wanna break this crown But it's hard when I'm so run down And you're so cynical Narcissistic cannibal Got to bring myself back from the dead Sometimes I hate the life I made Everything's wrong every time Pushing on, I can't escape Everything that comes my way Is haunting me, taking its sweet time Holding on, I'm lost in a haze Fighting life to the end of my days Don't wanna be rude but I have to Nothing's good about the hell you put me through I just need to look around See that life that has come unbound And you're so cynical Narcissistic cannibal Got to bring myself back from the dead  Don't wanna be sly and defile you Desecrate my mind and rely on you I just wanna break this crown But it's hard when I'm so run down And you're so cynical Narcissistic cannibal Got to bring myself back from the dead Sometimes I hate the life I made Everything's wrong every time Pushing on, I can't escape Everything that comes my way Is haunting me, taking its sweet time Holding on, I'm lost in a haze Fighting life to the end of my days Don't wanna be rude but I have to Nothing's good about the hell you put me through I just need to look around See that life that has come unbound And you're so cynical Narcissistic cannibal Got to bring myself back from the dead Sometimes I hate the life I made Everything's wrong every time Pushing on, I can't escape Everything that comes my way Is haunting me, taking its sweet time Sometimes I hate the life I made Everything's wrong every time Pushing on, I can't escape Everything that comes my way Is haunting me, taking its sweet time Holding on, I'm lost in a haze Fighting life to the end of my days Holding on, I'm lost in a haze Fighting life to the end of my days",The Path of Totality
